r,theta,gamma11,gamma12,gamma13,gamma22,gamma23,gamma33,K11,K12,K13,K22,K23,K33
2,0,5.93827,0,0,4.81,0,0,0,0,0,0,0,0
2,0.0314159,5.93728,0,0,4.8092,0,0.00474637,0,0,0,0,0,0
2,0.0628319,5.93433,0,0,4.80681,0,0.0189746,0,0,0,0,0,0
2,0.0942478,5.92942,0,0,4.80283,0,0.0426521,0,0,0,0,0,0
2,0.125664,5.92256,0,0,4.79728,0,0.0757242,0,0,0,0,0,0
2,0.15708,5.9138,0,0,4.79018,0,0.118114,0,0,0,0,0,0
2,0.188496,5.90316,0,0,4.78156,0,0.169723,0,0,0,0,0,0
2,0.219911,5.89069,0,0,4.77145,0,0.230429,0,0,0,0,0,0
2,0.251327,5.87642,0,0,4.7599,0,0.300086,0,0,0,0,0,0
2,0.282743,5.86044,0,0,4.74695,0,0.378526,0,0,0,0,0,0
2,0.314159,5.84278,0,0,4.73265,0,0.465557,0,0,0,0,0,0
2,0.345575,5.82353,0,0,4.71706,0,0.560959,0,0,0,0,0,0
2,0.376991,5.80276,0,0,4.70023,0,0.66449,0,0,0,0,0,0
2,0.408407,5.78055,0,0,4.68224,0,0.775879,0,0,0,0,0,0
2,0.439823,5.75698,0,0,4.66316,0,0.89483,0,0,0,0,0,0
2,0.471239,5.73216,0,0,4.64305,0,1.02102,0,0,0,0,0,0
2,0.502655,5.70619,0,0,4.62201,0,1.1541,0,0,0,0,0,0
2,0.534071,5.67915,0,0,4.60011,0,1.29367,0,0,0,0,0,0
2,0.565487,5.65116,0,0,4.57744,0,1.43935,0,0,0,0,0,0
2,0.596903,5.62233,0,0,4.55409,0,1.59067,0,0,0,0,0,0
2,0.628319,5.59278,0,0,4.53015,0,1.74718,0,0,0,0,0,0
2,0.659734,5.56262,0,0,4.50572,0,1.90838,0,0,0,0,0,0
2,0.69115,5.53196,0,0,4.48089,0,2.07372,0,0,0,0,0,0
2,0.722566,5.50094,0,0,4.45576,0,2.24265,0,0,0,0,0,0
2,0.753982,5.46967,0,0,4.43043,0,2.41458,0,0,0,0,0,0
2,0.785398,5.43827,0,0,4.405,0,2.58888,0,0,0,0,0,0
2,0.816814,5.40688,0,0,4.37957,0,2.76492,0,0,0,0,0,0
2,0.84823,5.3756,0,0,4.35424,0,2.942,0,0,0,0,0,0
2,0.879646,5.34458,0,0,4.32911,0,3.11945,0,0,0,0,0,0
2,0.911062,5.31393,0,0,4.30428,0,3.29652,0,0,0,0,0,0
2,0.942478,5.28376,0,0,4.27985,0,3.47249,0,0,0,0,0,0
2,0.973894,5.25421,0,0,4.25591,0,3.64658,0,0,0,0,0,0
2,1.00531,5.22538,0,0,4.23256,0,3.81803,0,0,0,0,0,0
2,1.03673,5.19739,0,0,4.20989,0,3.98606,0,0,0,0,0,0
2,1.06814,5.17036,0,0,4.18799,0,4.14987,0,0,0,0,0,0
2,1.09956,5.14438,0,0,4.16695,0,4.30869,0,0,0,0,0,0
2,1.13097,5.11956,0,0,4.14684,0,4.46171,0,0,0,0,0,0
